"precinct","candidate_1","candidate_2","candidate_3","candidate_4","candidate_5","candidate_6","votes_1","votes_2","votes_3","votes_4","votes_5","votes_6","party_1","party_2","party_3","party_4","party_5","party_6","total_votes","percent_votes_1","percent_votes_2","percent_votes_3","percent_votes_4","percent_votes_5","percent_votes_6"
"20-001","Colt Morningstar Black","Jaime Kiersten Brennan","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe",966,889,512,477,449,344,"republican","republican","democrat","democrat","democrat","democrat",3637,26.5603519384108,24.4432224360737,14.0775364311246,13.1152048391531,12.345339565576,9.45834478966181
"21-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",760,758,757,741,622,492,"republican","republican","democrat","democrat","democrat","democrat",4130,18.4019370460048,18.3535108958838,18.3292978208232,17.9418886198547,15.0605326876513,11.9128329297821
"21-002","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Veronica D. Lowe","Jaime Kiersten Brennan","Colt Morningstar Black",783,778,695,555,526,464,"democrat","democrat","democrat","democrat","republican","republican",3801,20.5998421468035,20.4682978163641,18.2846619310708,14.6014206787687,13.8384635622205,12.2073138647724
"21-003","Josh Bokee","Janie Monier","Veronica D. Lowe","Jaime Kiersten Brennan","Chad King Wilson, Sr.","Colt Morningstar Black",1696,1660,1603,1539,1508,1342,"democrat","democrat","democrat","republican","democrat","republican",9348,18.142918271288,17.7578091570389,17.148053059478,16.4634146341463,16.1317928968763,14.3560119811724
"21-009","Veronica D. Lowe","Josh Bokee","Janie Monier","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",129,117,116,114,104,80,"democrat","democrat","democrat","democrat","republican","republican",660,19.5454545454545,17.7272727272727,17.5757575757576,17.2727272727273,15.7575757575758,12.1212121212121
"22-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",403,373,322,307,305,214,"republican","republican","democrat","democrat","democrat","democrat",1924,20.9459459459459,19.3866943866944,16.7359667359667,15.956340956341,15.8523908523909,11.1226611226611
"23-001","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Veronica D. Lowe",512,472,367,348,346,269,"republican","republican","democrat","democrat","democrat","democrat",2314,22.1261884183232,20.3975799481417,15.8599827139153,15.0388936905791,14.95246326707,11.6248919619706
"23-002","Janie Monier","Veronica D. Lowe","Josh Bokee","Chad King Wilson, Sr.","Colt Morningstar Black","Jaime Kiersten Brennan",9,8,6,5,5,5,"democrat","democrat","democrat","democrat","republican","republican",38,23.6842105263158,21.0526315789474,15.7894736842105,13.1578947368421,13.1578947368421,13.1578947368421
"23-005","Veronica D. Lowe","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Jaime Kiersten Brennan","Colt Morningstar Black",1113,1080,1044,1006,982,855,"democrat","democrat","democrat","democrat","republican","republican",6080,18.3059210526316,17.7631578947368,17.1710526315789,16.5460526315789,16.1513157894737,14.0625
"24-001","Janie Monier","Chad King Wilson, Sr.","Josh Bokee","Jaime Kiersten Brennan","Colt Morningstar Black","Veronica D. Lowe",788,731,727,705,702,433,"democrat","democrat","democrat","republican","republican","democrat",4086,19.285364659814,17.8903573176701,17.7924620655898,17.2540381791483,17.1806167400881,10.5971610376897
"24-002","Janie Monier","Jaime Kiersten Brennan","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe","Colt Morningstar Black",675,633,633,625,613,538,"democrat","republican","democrat","democrat","democrat","republican",3717,18.1598062953995,17.0298627925747,17.0298627925747,16.8146354587033,16.4917944578962,14.4740382028518
"25-001","Janie Monier","Jaime Kiersten Brennan","Colt Morningstar Black","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1026,976,958,930,903,811,"democrat","republican","republican","democrat","democrat","democrat",5604,18.3083511777302,17.4161313347609,17.0949321912919,16.5952890792291,16.1134903640257,14.4718058529622
"26-001","Colt Morningstar Black","Jaime Kiersten Brennan","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",1250,1237,1070,1048,960,734,"republican","republican","democrat","democrat","democrat","democrat",6299,19.8444197491665,19.6380377837752,16.9868233052866,16.6375615177012,15.2405143673599,11.6526432767106
"26-002","Jaime Kiersten Brennan","Colt Morningstar Black","Janie Monier","Josh Bokee","Chad King Wilson, Sr.","Veronica D. Lowe",999,990,770,758,728,577,"republican","republican","democrat","democrat","democrat","democrat",4822,20.7175445873082,20.5309000414766,15.9684778100373,15.7196184155952,15.0974699294898,11.9659892160929
