"precinct","candidate","votes"
"18-001","Veronica D. Lowe (10072072.0002200)",434
"18-001","or write-in:",39
"18-001","overvote",2
"18-001","undervote",972
"18-001",NA,347
"18-002","Chad King Wilson, Sr. (10072072.0001530)",952
"18-002","Colt Morningstar Black (10072072.0001100)",1777
"18-002","Jaime Kiersten Brennan (10072072.0001390)",1801
"18-002","Janie Monier (10072072.0001460)",1176
"18-002","Josh Bokee (10072072.0001150)",1071
"18-002","Veronica D. Lowe (10072072.0002200)",771
"18-002","or write-in:",103
"18-002","overvote",10
"18-002","undervote",1745
"18-002",NA,703
"19-001","Chad King Wilson, Sr. (10072072.0001530)",214
"19-001","Colt Morningstar Black (10072072.0001100)",539
"19-001","Jaime Kiersten Brennan (10072072.0001390)",469
"19-001","Janie Monier (10072072.0001460)",262
"19-001","Josh Bokee (10072072.0001150)",248
"19-001","Veronica D. Lowe (10072072.0002200)",202
"19-001","or write-in:",36
"19-001","undervote",556
"19-001",NA,149
"20-001","Chad King Wilson, Sr. (10072072.0001530)",449
"20-001","Colt Morningstar Black (10072072.0001100)",966
"20-001","Jaime Kiersten Brennan (10072072.0001390)",889
"20-001","Janie Monier (10072072.0001460)",477
"20-001","Josh Bokee (10072072.0001150)",512
"20-001","Veronica D. Lowe (10072072.0002200)",344
"20-001","or write-in:",89
"20-001","overvote",2
"20-001","undervote",856
"20-001",NA,308
"21-001","Chad King Wilson, Sr. (10072072.0001530)",622
"21-001","Colt Morningstar Black (10072072.0001100)",758
"21-001","Jaime Kiersten Brennan (10072072.0001390)",760
"21-001","Janie Monier (10072072.0001460)",757
"21-001","Josh Bokee (10072072.0001150)",741
"21-001","Veronica D. Lowe (10072072.0002200)",492
"21-001","or write-in:",55
"21-001","overvote",1
"21-001","undervote",825
"21-001",NA,304
"21-002","Chad King Wilson, Sr. (10072072.0001530)",695
"21-002","Colt Morningstar Black (10072072.0001100)",464
"21-002","Jaime Kiersten Brennan (10072072.0001390)",526
"21-002","Janie Monier (10072072.0001460)",778
"21-002","Josh Bokee (10072072.0001150)",783
"21-002","Veronica D. Lowe (10072072.0002200)",555
"21-002","or write-in:",20
"21-002","overvote",3
"21-002","undervote",725
"21-002",NA,134
"21-003","Chad King Wilson, Sr. (10072072.0001530)",1508
"21-003","Colt Morningstar Black (10072072.0001100)",1342
"21-003","Jaime Kiersten Brennan (10072072.0001390)",1539
"21-003","Janie Monier (10072072.0001460)",1660
"21-003","Josh Bokee (10072072.0001150)",1696
"21-003","Veronica D. Lowe (10072072.0002200)",1603
"21-003","or write-in:",91
"21-003","overvote",8
"21-003","undervote",1657
"21-003",NA,469
"21-009","Chad King Wilson, Sr. (10072072.0001530)",114
"21-009","Colt Morningstar Black (10072072.0001100)",80
"21-009","Jaime Kiersten Brennan (10072072.0001390)",104
"21-009","Janie Monier (10072072.0001460)",116
"21-009","Josh Bokee (10072072.0001150)",117
"21-009","Veronica D. Lowe (10072072.0002200)",129
"21-009","or write-in:",2
"21-009","undervote",124
"21-009",NA,26
"22-001","Chad King Wilson, Sr. (10072072.0001530)",307
"22-001","Colt Morningstar Black (10072072.0001100)",403
"22-001","Jaime Kiersten Brennan (10072072.0001390)",373
"22-001","Janie Monier (10072072.0001460)",322
