created_user,created_date,last_edited_user,last_edited_date,OBJECTID,ED_NUM,ED_NAME,PRECINCT,LEGIS_DIST,POLL_NAME,POLL_TYPE,POLL_ADDRE,CITY,ZIP_CODE,CONG_DIST,COUNCIL_DIST,GOOGLINK,GlobalID,ShapeSTArea,ShapeSTLength
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:56:10+00,2099,9,NEW MARKET,09-005,04,Linganore High School,School,12013 Old Annapolis Rd,Frederick,21701,6,2,"https://www.google.com/maps/place/39.4331914692957,-77.2471361568734",{E3394FD4-78F1-46D9-953A-DE7A8F5769A7},208973242.581598,65918.1268541141
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:40+00,2100,2,FREDERICK,02-013,03,Waverley Elementary School B - Gym,School,201 Waverley Drive,Frederick,21702,6,3,"https://www.google.com/maps/place/39.4278856169454,-77.4613549326603",{585FF618-C226-4D37-88BD-17D0CFE67140},39586001.0045405,26882.892571718
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:17+00,2101,2,FREDERICK,02-004,03,Hillcrest Elementary School,School,1285 Hillcrest Drive,Frederick,21703,6,3,"https://www.google.com/maps/place/39.4107560990467,-77.4505853920481",{C18CF276-64F4-4165-9F35-C9B7473E54E1},28791549.659968,28106.4065224422
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:14+00,2102,23,BALLENGER,23-001,04,Orchard Grove Elementary School,School,5898 Hannover Drive,Frederick,21703,6,1,"https://www.google.com/maps/place/39.3945261310121,-77.4412608251146",{715FE438-1547-4BED-8FEC-0E16C5418387},272130458.900157,78343.7782638875
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:09+00,2103,23,BALLENGER,23-002,03,Orchard Grove Elementary School,School,5898 Hannover Drive,Frederick,21703,6,3,"https://www.google.com/maps/place/39.3945261310121,-77.4412608251146",{4464F8EB-876D-441B-AD32-76123024071F},8677822.40924259,14996.5030633202
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:07:08+00,2104,23,BALLENGER,23-003,03, , , , , ,6,3,"https://www.google.com/maps/place/39.3945261310121,-77.4412608251146",{A0FEDE26-28C1-44A3-8BF8-62C4462964DA},226013.616689128,2967.31000859819
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:53:59+00,2105,2,FREDERICK,02-016,03,Crestwood Middle School,School,7100 Foxcroft Drive,Frederick,21703,6,4,"https://www.google.com/maps/place/39.3936968974408,-77.4226231665353",{8A9A0CF3-DCD3-417F-A782-0F23C1A1DF9B},78445822.3517855,54876.6773598737
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:57:01+00,2106,9,NEW MARKET,09-003,03,Oakdale Middle School,School,5810 Oakdale School Road,Ijamsville,21754,6,2,"https://www.google.com/maps/place/39.3928326434175,-77.3192202763756",{F6EBC057-03C1-42A9-B648-F081CFDD32F0},211778098.305721,75784.6717493659
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:53:49+00,2107,2,FREDERICK,02-006,03,Ballenger Creek Middle School,School,5525 Ballenger Creek Pike,Frederick,21703,6,4,"https://www.google.com/maps/place/39.3857050002798,-77.4410668415293",{76700CCB-C0E1-4A27-944E-AB26BBDD9193},18928112.9756487,19594.6758382636
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:53:51+00,2108,2,FREDERICK,02-014,03,Ballenger Creek Elementary School,School,5250 Kingsbrook Drive,Frederick,21703,6,4,"https://www.google.com/maps/place/39.3777451671101,-77.4307971227077",{C9AF30CB-A4A6-408F-ADC3-93482DC85E23},17217292.9066247,22188.7116806205
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 16:03:26+00,2109,1,BUCKEYSTOWN,01-002,03,Tuscarora High School,School,5312 Ballenger Creek Pike,Frederick,21703,6,1,"https://www.google.com/maps/place/39.3783549651619,-77.4458716596244",{9E23C4BC-E77A-4AF3-A507-8EFC221EA7E8},89353058.8793583,62877.6865783569
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/13 14:13:53+00,2110,10,HAUVERS,10-001,02A,Sabillasville Environmental School,School,16210-B Sabillasville Road,Sabillasville,21780,6,5,"https://www.google.com/maps/place/39.6802714509443,-77.4562704142186",{37E62C60-1A03-4AB5-AA0E-C4BABAF2B72B},444093894.784674,108462.525657574
NMULLINS,2024/02/14 19:41:11+00,NMULLINS,2024/03/04 15:46:05+00,2111,5,EMMITSBURG,05-001,02A,Emmitsburg Elementary School,School,300 South Seton Avenue,Emmitsburg,21727,6,5,"https://www.google.com/maps/place/39.7031446965002,-77.3292351586741",{D09ECDA5-3F33-41A7-A950-C974F309755B},1126876663.33658,185319.488534557
